Year,State,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Disorderly Conduct,DUI,Drug Abuse Violations,Embezzlement,Forgery and Counterfeiting,Fraud,Human Trafficking - Commercial Sex Acts,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
2016,AK,1845,11340,51,538,738,3063,1006,81,96,236,0,2401,775,5,505,41,195,13,130,282,4300,82,1024,311,281
2017,AK,1913,10737,22,623,757,3102,1004,77,113,219,0,2356,653,2,694,46,159,5,126,289,4478,105,1004,369,256
2018,AK,2132,11072,43,602,843,3148,1046,54,154,201,0,2392,592,4,726,38,174,2,149,367,4943,120,1103,387,263
2019,AK,2077,10179,49,603,742,2856,930,43,78,121,0,1885,310,4,476,46,150,5,129,310,4862,91,1161,259,243
2020,AK,2118,9865,42,471,655,3008,808,35,53,199,0,1545,275,1,338,33,101,1,160,287,4591,66,1063,332,242
2021,AK,681,4151,13,151,405,1529,447,3,7,19,1,349,130,3,96,14,32,0,84,22,1899,11,323,113,45
2016,AL,4632,71126,108,3191,2278,8275,10327,194,1416,3845,0,15174,2522,12,929,345,1022,1,395,1325,18714,2105,1641,1729,724
2017,AL,3961,67994,104,2880,1966,7061,10541,152,1109,2819,0,13959,2007,7,877,292,673,2,311,1080,15485,2280,1256,1806,509
2018,AL,3958,74713,110,2809,1978,7275,10349,150,983,2611,0,14513,1596,13,994,277,490,0,329,1096,15434,2177,1234,1931,536
2019,AL,3868,74113,88,2198,1921,6275,8608,140,846,2309,0,13555,1551,5,920,350,393,0,276,959,15130,1881,1183,1261,425
2020,AL,103,2087,3,65,28,210,358,7,34,56,0,435,29,1,20,12,24,0,10,19,384,46,29,49,15
2021,AL,951,26904,24,696,1324,316,6747,4,195,431,7,2561,3194,0,320,75,139,30,65,176,3876,622,627,838,50
2016,AR,3928,62555,47,2235,2643,6817,16027,64,854,1134,0,11760,1829,10,509,142,364,282,298,573,12254,1440,1518,1066,124
2017,AR,3848,55402,40,2138,2543,6078,17862,60,859,918,0,9975,1489,14,623,138,307,171,304,567,11708,1794,1574,1109,69
2018,AR,4252,59515,69,2020,2472,6344,19336,54,905,972,0,11560,1382,11,652,148,473,134,280,544,12628,1882,1669,1188,104
2019,AR,4425,56407,65,1964,2722,6502,19026,52,880,951,0,11541,1328,8,619,165,429,83,308,517,12713,1861,1908,1122,82
2020,AR,4621,37000,62,1702,2027,4938,15294,29,618,625,0,8608,872,13,553,195,253,17,281,437,10858,1672,1518,1008,77
2021,AR,4830,46796,68,1651,2311,5125,16238,26,495,502,1,6952,1036,8,659,196,323,55,282,348,11530,1663,1685,1139,96
2016,AZ,8945,74964,189,4077,16118,23728,31044,363,1122,2050,0,32711,9878,41,1625,253,2737,388,352,1876,26819,1369,10425,2931,1414
2017,AZ,10473,84816,232,4251,16661,25300,36156,457,1219,2142,0,30433,9663,22,1735,275,3092,308,353,2153,28569,1452,10974,3217,1392
2018,AZ,10038,82141,417,3993,16213,20183,33306,854,1164,2183,250,27123,7614,34,1794,295,2591,349,359,1982,27923,1136,10704,3185,1486
2019,AZ,9577,79203,180,3871,14545,19559,30736,489,881,2188,0,26034,6307,38,1570,307,2541,283,309,1948,25464,1020,9932,3121,1370
2020,AZ,9194,53163,218,3542,11253,14955,22194,345,610,1467,1,21274,3599,43,1684,343,1825,372,324,1883,23516,1023,8874,3616,1060
2021,AZ,3027,27680,101,1153,8093,11932,9457,54,194,609,0,7621,1909,25,697,103,351,64,126,363,11504,314,3285,982,173
2016,CA,86965,285231,1305,40808,3906,129752,219016,955,5000,6324,0,54720,8857,222,18521,1437,236,7601,2560,15866,80835,16500,17202,27707,9222
2017,CA,88370,290764,1573,38214,3554,123257,212977,997,4449,6936,0,47080,7127,267,19541,1500,227,7069,2565,16995,80667,17423,16962,28629,9314
2018,CA,89618,293353,1529,35230,3451,127250,219251,921,4118,6105,0,42468,5948,243,18020,1409,268,6418,2539,16670,81812,16227,16652,28290,8901
2019,CA,85533,271853,1575,33741,3265,122594,218674,988,3824,6863,0,40497,5385,276,15240,1320,297,5786,2203,15795,79617,15168,16811,27496,8803
