,State,2016 Total Population,2016 Total Migration,2016 Employable Civilians,2016 Employed Civilians,2016 Employed Rate (%),2016 Unemployed Civilians,2016 Median Household Income,2016 Per Capita Income,2017 Total Population,2017 Total Migration,2017 Employable Civilians,2017 Employed Civilians,2017 Employed Rate (%),2017 Unemployed Civilians,2017 Median Household Income,2017 Per Capita Income,2018 Total Population,2018 Total Migration,2018 Employable Civilians,2018 Employed Civilians,2018 Employed Rate (%),2018 Unemployed Civilians,2018 Median Household Income,2018 Per Capita Income,2019 Total Population,2019 Total Migration,2019 Employable Civilians,2019 Employed Civilians,2019 Employed Rate (%),2019 Unemployed Civilians,2019 Median Household Income,2019 Per Capita Income,2020 Total Population,2020 Total Migration,2020 Employable Civilians,2020 Employed Civilians,2020 Employed Rate (%),2020 Unemployed Civilians,2020 Median Household Income,2020 Per Capita Income,2021 Total Population,2021 Total Migration,2021 Employable Civilians,2021 Employed Civilians,2021 Employed Rate (%),2021 Unemployed Civilians,2021 Median Household Income,2021 Per Capita Income
0,Alabama,4841164,108414,2226504,2042025,42,184479,44758,24736,4850771,109472,2220900,2055509,42,165391,46472,25746,4864680,111675,2224606,2076708,42,147898,48486,26846,4876250,112216,2229479,2097384,43,132095,50536,27928,4893186,109592,2245329,2119986,43,125343,52035,28934,4997675,109257,2298013,2173597,43,124416,54943,30458
1,Alaska,736855,33458,384093,353954,48,30139,74444,34191,738565,32778,383593,354045,47,29548,76114,35065,738516,32334,379219,351152,47,28067,76715,35874,737068,31415,374582,347774,47,26808,77640,36787,736990,30537,367921,341492,46,26429,77790,37094,735951,29528,363718,338664,46,25054,80287,39236
2,Arizona,6728577,245859,3129344,2879372,42,249972,51340,26686,6809946,251395,3179802,2953891,43,225911,53510,27964,6946685,260377,3256192,3045978,43,210214,56213,29265,7050299,262076,3326563,3130658,44,195905,58945,30694,7174064,268160,3415201,3215843,44,199358,61529,32340,7079203,259522,3401906,3210791,45,191115,65913,34644
3,Arkansas,2968472,73632,1359742,1266552,42,93190,42336,23401,2977944,73591,1361664,1276536,42,85128,43813,24426,2990671,74472,1368037,1292263,43,75774,45726,25635,2999370,72558,1373971,1303490,43,70481,47597,26577,3011873,69322,1381452,1309748,43,71704,49475,27724,3006309,71002,1384596,1310863,43,73733,52123,29210
4,California,38654206,501384,19260868,17577142,45,1683726,63783,31458,38982847,507464,19485061,17993915,46,1491146,67169,33128,39148760,509848,19630514,18309012,46,1321502,71228,35021,39283497,503560,19790474,18591241,47,1199233,75235,36955,39346023,492436,19875973,18646894,47,1229079,78672,38576,39455353,478535,19980462,18676721,47,1303741,84097,41276
5,Colorado,5359295,213586,2864224,2692529,50,171695,62520,33230,5436519,217854,2912932,2760076,50,152856,65458,34845,5531141,225216,2978700,2839374,51,139326,68811,36415,5610349,229779,3035960,2904589,51,131371,72331,38226,5684926,226020,3079769,2937047,51,142722,75231,39545,5723176,230815,3120868,2975830,51,145038,80184,42807
6,Connecticut,3588570,80187,1948693,1793688,49,155005,71755,39906,3594478,79626,1945798,1805086,50,140712,73781,41365,3581504,79460,1936354,1810445,50,125909,76106,43056,3575074,81840,1932092,1815636,50,116456,78444,44496,3570549,83579,1923759,1807525,50,116234,79855,45668,3605330,89780,1940626,1822995,50,117631,83572,47869
7,Delaware,934695,36492,471961,438292,46,33669,61017,31118,943732,36966,471758,441513,46,30245,63036,32625,949495,36371,479447,450946,47,28501,65627,33989,957248,37551,482101,455620,47,26481,68287,35450,967679,36249,485206,456872,47,28334,69110,36574,981892,36915,492450,464457,47,27993,72724,38917
8,Florida,19934451,558705,9557443,8755427,43,802016,48900,27598,20278447,564263,9717687,9018570,44,699117,50883,28774,20598139,575783,9876910,9253932,44,622978,53267,30197,20901636,587748,10056801,9495353,45,561448,55660,31619,21216924,598188,10240825,9684712,45,556113,57703,32848,21339762,604970,10377036,9824911,46,552125,61777,35216
9,Georgia,10099320,282247,4908225,4489112,44,419113,51037,26678,10201635,279810,4978910,4606329,45,372581,52977,28015,10297484,279999,5043919,4721065,45,322854,55679,29523,10403847,282955,5125182,4834622,46,290560,58700,31067,10516579,278030,5201775,4910269,46,291506,61224,32427,10625615,277486,5274596,4983753,46,290843,65030,34516
